"NCI_U133A_2L"	"NCI_U133A_8L"	"NCI_U133A_9L"
"1"	7.37	6.57	7.2
"2"	4.8	4.57	5.84
"3"	5.16	4.68	6.26
"4"	8.92	8.57	7.88
"5"	5.52	5.42	5.33
"6"	6.82	7.16	7.65
"7"	6.79	6.84	8.39
"8"	5.66	5.95	5.9
"9"	6.75	7.42	6.51
"10"	6.42	6.7	6.34
"11"	6.53	5.91	7.51
"12"	5.7	4.72	NA
"13"	6.23	6.48	6.15
"14"	6.83	7.65	7.65
"15"	5.85	7.13	6.94
"16"	5.85	7.13	6.94
"17"	5.74	5.74	5.9
"18"	6.28	6.56	7.67
"19"	7.57	7.62	9.64
"20"	7.35	7.92	9.68
"21"	5.42	5.5	6.54
"22"	6.53	6.57	8.53
"23"	7.25	7.42	7.48
"24"	6.71	6.65	7.3
"25"	10.04	10.31	8.79
"26"	5.43	5.43	5.64
"27"	8.48	9.2	9.32
"28"	11.76	11.22	12.6
"29"	6.42	9.52	8.03
"30"	8.45	8.46	7.95
"31"	6.66	7.8	5.11
"32"	7.9	8.23	8.37
"33"	9.38	9.17	9.64
"34"	8.92	9.02	9.46
"35"	6.62	5.57	6.82
"36"	8.74	8	7.82
"37"	10.99	10.27	10.82
"38"	10.44	9.83	9.69
"39"	9.04	7.74	7.23
"40"	9.27	8.98	9.4
"41"	9.2	9	9.36
"42"	4.58	4.98	5.23
"43"	9.69	9.69	9.73
"44"	8.28	7.33	8.45
"45"	10.21	9.8	10.29
"46"	8.47	8.75	8.91
"47"	7.77	7.94	8.31
"48"	6.74	5.74	5.56
"49"	3.77	3.8	3.79
"50"	6.24	5.89	6.05
"51"	8.46	8.82	7.94
"52"	6.01	5.81	5.87
"53"	5.26	5.02	4.3
"54"	8.22	7.66	6.41
"55"	7.45	7.51	9.42
"56"	8.22	7.14	8.06
"57"	6.88	5.27	6.15
"58"	6.35	5.44	5.73
"59"	4.71	4.86	4.87
"60"	4.71	4.86	4.87
"61"	7.21	7.3	6.9
"62"	5.87	6.35	6.21
"63"	4.53	5.14	4.84
"64"	4.3	4.41	4.46
"65"	5.67	5.68	5.4
"66"	8.58	10.12	9.49
"67"	5.4	5.1	5.26
"68"	3.99	4.02	4.06
"69"	4.89	4.76	4.86
"70"	7.85	8.31	8.56
"71"	6.51	6.68	6.38
"72"	7.21	7.19	6.6
"73"	7.72	7.77	7.92
"74"	6.71	6.38	6.55
"75"	6.59	5.79	6.61
"76"	7.3	7.95	7.57
"77"	8.45	8.05	8.29
"78"	6.58	6.31	6.27
"79"	9.12	8.9	8.77
"80"	8.37	7.9	8.28
"81"	8.01	7.28	7.73
"82"	8.46	6.24	7
"83"	8.21	7.79	8.18
"84"	4.66	4.79	4.8
"85"	7.42	6.98	7.32
"86"	9.52	8.52	8.91
"87"	8.13	7.84	7.71
"88"	10.41	10.32	10.19
"89"	7.12	7.43	7.19
"90"	6.4	9.38	10.27
"91"	5.52	6.84	7.8
"92"	7.61	8.24	8.58
"93"	7.46	7.17	7.84
"94"	6.28	6.45	6.55
"95"	5.52	5.72	5.49
"96"	7.87	7.04	7.08
"97"	6.58	6.68	6.6
"98"	7.02	7.19	7.22
"99"	9.85	9.63	8.73
"100"	4.39	4.46	4.41
"101"	7.24	6.9	7.09
"102"	8.12	8.07	8.22
"103"	6.06	6.07	6.13
"104"	8.44	10.55	10.04
"105"	7.94	10.54	9.96
"106"	7.75	7.64	8.26
"107"	6.03	7.09	6.4
"108"	8.76	9.43	8.93
"109"	6.61	6.51	6.22
"110"	9.27	10.72	10.54
"111"	9.27	10.72	10.54
"112"	8.58	9	8.4
"113"	7.85	9.07	9.1
"114"	6.13	5.16	5.47
"115"	6.73	5.49	5.72
"116"	7.16	6	6.31
"117"	6.74	8.8	7.9
"118"	7.41	6.11	8.11
"119"	6.69	5.82	7.43
"120"	5.8	6.05	5.54
"121"	6.4	5.79	6.36
"122"	8.01	8.18	8.54
"123"	9.27	9.65	10.19
"124"	7.81	8.49	8.76
"125"	7.44	7.57	7.55
"126"	5.95	5.67	5.84
"127"	4.64	4.32	4.53
"128"	8.18	7.62	7.82
"129"	7.63	7.25	7.58
"130"	10.81	10.23	10.55
"131"	5.91	5.91	5.93
"132"	6.49	5.45	6.07
"133"	5.61	4.76	5.37
"134"	6.21	6.27	6.25
"135"	6.73	8.18	7.39
"136"	7.63	7.62	7.88
"137"	6.57	6.57	7.1
"138"	5.69	6.48	6.63
"139"	6.65	7.07	6.87
"140"	5.72	5.69	5.52
"141"	4.03	3.82	3.96
"142"	4.54	4.26	4.61
"143"	6.04	5.69	5.84
"144"	8.79	8.92	10.06
"145"	9.4	8.49	9.27
"146"	7.88	6.97	8.35
"147"	8.27	7.07	7.63
"148"	7.08	7.12	7.11
"149"	8.42	8.9	8.53
"150"	7.25	9.89	7.33
"151"	6.63	8.66	8.77
"152"	5.71	6.35	6.39
"153"	6.73	5.95	5.96
"154"	5.33	4.86	4.67
"155"	8.68	7.06	9.34
"156"	6.09	6.44	6.23
"157"	5.14	6.42	7.25
"158"	9.16	8.96	9.14
"159"	7.06	7.18	7.37
"160"	9.49	7.17	6.99
"161"	8.83	6.55	6.39
"162"	8.21	5.68	9.32
"163"	8.75	8.68	8.62
"164"	6.71	6.54	7.02
"165"	4.14	4.15	4.21
"166"	7.26	10.91	9.15
"167"	4.55	4.65	4.6
"168"	11.3	10.66	10.22
"169"	10	9.8	9.65
"170"	5.99	6.08	5.97
"171"	7.83	7.79	7.48
"172"	7.36	6.85	7.28
"173"	7.92	9.08	7.86
"174"	10.28	11.15	10.49
"175"	9.45	10.35	9.44
"176"	7.06	6.98	6.27
"177"	7.22	7.49	7.44
"178"	8.7	7.51	8.07
"179"	7.16	7.28	7.18
"180"	9.61	10.13	10.65
"181"	6.46	6.53	6.56
"182"	11.43	11.2	11.54
"183"	9.92	10.71	10.84
"184"	8.81	10.06	10.2
"185"	8.64	10.66	9.66
"186"	7.98	7.66	7.8
"187"	10	12.25	10.43
"188"	9.12	9.59	9.31
"189"	8.11	6.44	6.23
"190"	9.8	9.77	9.81
"191"	9.43	9.69	9.44
"192"	8.5	10.82	10.22
"193"	8.52	11.03	10.4
"194"	7.25	9.97	9.01
"195"	7.6	8.87	8.55
"196"	8.56	8.66	8.97
"197"	7.34	6.41	6.92
"198"	5.68	5.96	5.97
"199"	7.37	11.3	10.45
"200"	8.23	12.96	12.3
"201"	6.65	6.73	7.01
"202"	6.59	7.07	6.55
"203"	8.94	9.94	9.77
"204"	9.74	9.44	8.77
"205"	4.93	5.17	5.22
"206"	5.54	5.7	5.57
"207"	6.81	6.76	6.83
"208"	5.43	5.53	5.4
"209"	8.46	11.17	10.05
"210"	6.45	6.83	7.03
"211"	7.78	6.94	7.66
"212"	8.16	9.68	10.16
"213"	7.06	6.28	6.19
"214"	10.28	6.36	8.69
"215"	5.85	5.67	6.03
"216"	4.49	5.92	4.75
"217"	8.22	10.21	9.29
"218"	7.95	6.93	7.62
"219"	5.46	5.8	5.55
"220"	6.75	7.79	7.41
"221"	6.86	6.25	7.98
"222"	6	6.84	8.61
"223"	5.22	5.99	7.92
"224"	9.09	10.16	9.6
"225"	7.03	6.73	7.24
"226"	6.96	5.54	6.38
"227"	9.68	9.71	9.15
"228"	9.68	11.79	10.62
"229"	9.43	11.32	10.02
"230"	5.07	5.06	5.31
"231"	7.46	7.02	7.11
"232"	11.2	9.92	9.66
"233"	10.24	8.79	8.7
"234"	10.26	10.12	10.42
"235"	6.64	7.07	6.81
"236"	6.65	6.39	6.45
"237"	8.37	8.04	11.16
"238"	10.11	9.18	9.33
"239"	8.39	8.18	7.67
"240"	8.33	8.38	8.28
"241"	11.54	11.62	11.49
"242"	11.3	11.34	11.14
"243"	9.27	9.27	9.25
"244"	6.71	7.35	7.63
"245"	7.37	7.21	7.29
"246"	7.09	7.94	7.96
"247"	10.07	9.6	10.03
"248"	6.85	6.63	6.57
"249"	9.47	9.56	9.37
"250"	7.04	5.97	5.72
"251"	8.31	9.04	9.7
"252"	9.53	9.23	9.45
"253"	6.76	8.13	8.12
"254"	6.07	7.06	6.56
"255"	8.26	10.74	12.98
"256"	8.53	8.02	8.8
"257"	9.11	7.79	10.72
"258"	8.01	8.06	8.09
"259"	7.87	8.01	7.98
"260"	7.63	7.19	7.5
"261"	7.75	6.87	7.43
"262"	6.44	6	7.5
"263"	8.25	10.05	9.34
"264"	7.25	7.21	7.7
"265"	7.05	7.67	9
"266"	6.19	6.77	8.04
"267"	7.08	8.46	10.15
"268"	4.36	4.35	4.33
"269"	6.55	6.16	6.22
"270"	7.82	8.02	7.58
"271"	8.14	7.73	7.36
"272"	7.98	9.11	9.19
"273"	7.6	7.11	8.06
"274"	9.84	9.21	9.61
"275"	8.32	7.4	7.43
"276"	7.17	7.53	7.31
"277"	6.22	6.06	6.5
"278"	6.36	5.62	5.69
"279"	7.29	6.75	6.63
"280"	6.99	6.98	7.19
"281"	6.23	5.45	6.22
"282"	7.55	6.49	6.95
"283"	6.32	5.72	6.09
"284"	7.9	8.71	8.36
"285"	8.58	6.91	5.93
"286"	7.22	8.24	7.62
"287"	6.9	6.26	7.3
"288"	7.73	6.06	7.57
"289"	4.78	4.5	4.48
"290"	6.61	6.12	6.56
"291"	8.69	10.56	10.46
"292"	7.24	7.58	7.55
"293"	4.79	4.12	4.06
"294"	6.38	5.98	5.89
"295"	5.02	7.32	7.48
"296"	4.59	6.23	6.24
"297"	6.15	6.84	6.23
"298"	6.29	6.48	6.51
"299"	4.24	4.24	4.29
"300"	7.59	6.12	6.74
"301"	7.21	7.3	6.6
"302"	7.5	7.67	7.71
"303"	5.22	5.7	5.36
"304"	6.85	6.08	6.24
"305"	5.44	5.13	5.17
"306"	6	5.7	6.04
"307"	5.56	5.05	5.14
"308"	5.66	5.5	5.49
"309"	13.22	12.78	13.24
"310"	12.8	12.08	12.71
"311"	12.57	12.05	12.65
"312"	8.7	8.08	7.54
"313"	7.42	7.13	6.71
"314"	7.76	7.96	7.74
"315"	8.17	6.7	7.21
"316"	8.1	8.47	8.68
"317"	6.82	6.93	8.16
"318"	7.81	8.62	8.29
"319"	8.03	8.61	8.3
"320"	7.68	8.5	8.28
"321"	8.05	8.56	8.56
"322"	8.13	8.45	8.42
"323"	6.97	7.36	7.85
"324"	5.69	5.98	5.77
"325"	7.07	6.95	6.75
"326"	6.58	6.29	6
"327"	5.17	5.19	5.38
"328"	8.69	9.13	8.66
"329"	8.61	10.34	11.22
"330"	7.09	8.71	9.06
"331"	3.88	4.01	3.99
"332"	4.93	4.99	5.03
"333"	6.83	7.29	6.87
"334"	6.19	6.43	6.52
"335"	8.78	7.81	8.55
"336"	10.13	10.98	10.79
"337"	7.2	8.83	9.03
"338"	7.93	10.69	9.45
"339"	8.32	11.56	10.08
"340"	6.95	7.36	7.46
"341"	6.02	6.14	6.06
"342"	3.79	3.89	3.84
"343"	3.79	3.89	3.84
"344"	6.73	6.88	6.68
"345"	5.28	5.05	4.94
"346"	5.19	5.19	4.93
"347"	9.51	8.52	9.04
"348"	10.17	9.11	9.64
"349"	9.48	8.97	9.47
"350"	4.97	5.16	5.16
"351"	6.26	6.81	6.64
"352"	6.03	6.46	6.21
"353"	5.65	5.95	6.12
"354"	6.83	7.2	7.29
"355"	7.46	6.5	6.39
"356"	10.2	10.03	11.13
"357"	5.33	5.22	5.23
"358"	4.29	4.53	4.4
"359"	6.79	6.92	6.98
"360"	6.8	7.22	7.03
"361"	6.68	7.15	6.59
"362"	6.99	7.42	7.22
"363"	7.5	7.59	7.79
"364"	7.2	7.47	7.32
"365"	7.83	7.65	7.38
"366"	7.27	6.9	6.95
"367"	7.45	8.11	7.43
"368"	4.97	6.24	6.87
"369"	4.58	5.88	6.46
"370"	7.97	7.99	7.95
"371"	8.43	8.6	8.61
"372"	5.51	6.55	5.59
"373"	8.59	8.71	9.09
"374"	8.64	12.1	11.4
"375"	5.66	5	6.11
"376"	6.89	6.86	7.19
"377"	5.84	4.9	5.47
"378"	6.97	7.09	6.71
"379"	5.31	5.18	5.12
"380"	6.67	7.07	6.71
"381"	7.29	8.42	11.94
"382"	5.28	7.38	8.15
"383"	4.17	5.21	6.01
"384"	5.62	6.11	5.67
"385"	8.52	7.84	7.68
"386"	4.34	4.6	4.32
"387"	6.38	6.31	6.31
"388"	7.23	8.68	9.63
"389"	6.73	6.94	6.65
"390"	8.18	8.84	8.79
"391"	8.29	7.68	8.22
"392"	4.31	4.35	4.56
"393"	5.22	5.33	4.88
"394"	7.19	6.05	5.95
"395"	6.1	5.85	5.79
"396"	7.47	8.69	7.46
"397"	7.69	8.82	8.5
"398"	9.45	10.12	9.84
"399"	6.6	7.81	7.62
"400"	4.54	4.58	4.52
"401"	6.6	6.64	6.47
"402"	5.52	5.37	5.17
"403"	5.14	5.33	5.19
"404"	3.76	3.92	3.92
"405"	6.86	7.01	6.67
"406"	7.04	6.58	7.3
"407"	6.12	6.13	6.4
"408"	6.9	7.75	8.11
"409"	6.1	5.99	6.3
"410"	10.18	8.4	8.64
"411"	4.07	4.09	4.21
"412"	4.14	4.06	4.05
"413"	3.81	3.72	3.77
"414"	9.2	8.25	8.49
"415"	8.95	9.34	8.37
"416"	4.44	4.62	4.63
"417"	7.93	8.27	8.45
"418"	9.52	7.33	9.06
"419"	6.59	7.05	7.07
"420"	9.77	8.95	11.28
"421"	5.21	5.08	5.39
"422"	7.17	6.77	7.1
"423"	6.16	5.77	6.25
"424"	6.88	5.94	6.88
"425"	6.31	5.93	6.02
"426"	7.16	6.94	6.23
"427"	5.39	6.07	5.81
"428"	7.05	7.02	7.38
"429"	8.4	9.26	8.8
"430"	6.52	6.7	7.13
"431"	5.7	5.44	5.82
"432"	7.7	6.6	7.23
"433"	9.03	8.18	8.06
"434"	6.33	6.5	6.39
"435"	6.73	6.89	6.89
"436"	5.69	5.78	5.18
"437"	6.42	6.33	6.2
"438"	6.61	6.7	6.6
"439"	5.29	4.88	4.85
"440"	5.06	5.19	5.09
"441"	5.1	5.15	5.21
"442"	5.73	6.6	6.4
"443"	4.81	4.88	4.99
"444"	7.76	7.6	7.55
"445"	5.71	5.7	5.66
"446"	9.14	5.59	5.63
"447"	4.92	5.08	4.95
"448"	4.61	4.48	4.43
"449"	6.56	6.53	6.35
"450"	5.69	5.99	5.55
"451"	6.36	6.14	6.4
"452"	6.65	6.44	6.56
"453"	3.6	3.62	3.55
"454"	7.56	7.99	7.79
"455"	6.7	5.51	5.75
"456"	5.33	5.28	5.16
"457"	9.66	8.99	8.29
"458"	4.34	4.82	4.32
"459"	7.81	9.28	7.69
"460"	6.14	6.23	6.05
"461"	7.85	7.89	7.6
"462"	6.01	6.19	6.39
"463"	11.76	11.56	12.22
"464"	5.86	5.92	5.83
"465"	7.96	8.22	8.23
"466"	4.11	4.19	4.23
"467"	6.98	7.08	6.91
"468"	8.89	7.85	8.2
"469"	7.25	9.98	9.63
"470"	7.29	7.67	7.36
"471"	3.89	3.85	3.77
"472"	5.41	5.81	5.68
"473"	5.09	5.48	5.16
"474"	8.51	8.84	8.8
"475"	4.62	4.89	6.41
"476"	8.68	8.18	8.52
"477"	8.88	10.05	10.07
"478"	10.67	11.53	11.51
"479"	10.79	9.8	10.08
"480"	5.86	5.68	5.62
"481"	5.67	5.79	5.75
"482"	5.41	5.38	5.43
"483"	8.8	7.61	8.18
"484"	9.08	9	10
"485"	7.36	7.14	6.47
"486"	6.55	6.75	6.83
"487"	6.39	6.75	6.92
"488"	5.57	5.23	5.24
"489"	5.72	6.14	5.95
"490"	7.25	7.64	7.35
"491"	6.41	6.82	6.54
"492"	7.96	8.38	8.58
"493"	9.84	10.3	10.44
"494"	9	8.57	8.56
"495"	7.96	10.48	10.1
"496"	7.86	8.82	8.91
"497"	8.39	8.19	7.74
"498"	9.64	9.46	9.27
"499"	4.07	4.28	4.19
"500"	6.76	8.45	8.09
"501"	10.98	11.02	10.88
"502"	10.61	10.11	10.3
"503"	7.23	6.98	6.64
"504"	7.44	8.06	7.93
"505"	8.26	7.24	8.17
"506"	9.18	7.08	8.51
"507"	8.41	6.87	7.89
"508"	8.85	7.12	8.02
"509"	9.64	10.03	9.79
"510"	9.65	9.72	9.39
"511"	5.07	4.89	5.91
"512"	7.89	8.34	8.62
"513"	8.11	6.85	7.49
"514"	7.74	9.12	6.83
"515"	8.89	8.15	8.73
"516"	5.69	6.41	6.33
"517"	6.84	5.81	5.89
"518"	8.2	8.01	9.27
"519"	6.99	5.22	6.44
"520"	5.84	6.06	5.71
"521"	5.92	6.25	5.93
"522"	4.99	4.72	4.61
"523"	7.52	7.48	8.37
"524"	8.28	7.58	8.16
"525"	7.43	7.76	7.94
"526"	7.97	7.62	7.82
"527"	9.69	9.41	10.69
"528"	9.04	7.84	8.23
"529"	5.2	5.41	5.29
"530"	8.58	8.46	8.04
"531"	8.51	8.89	7.82
"532"	5.69	5.28	5.29
"533"	7.34	7.99	7.47
"534"	7.13	7.13	7.12
"535"	7.51	7.68	7.45
"536"	8.43	7.8	7.64
"537"	6.63	6.74	6.42
"538"	7.03	6.58	6.94
"539"	3.98	3.9	3.86
"540"	7.01	8.51	9.1
